,선명,역명,주소,위도,경도
68,3호선,남부터미널(예술의전당),서울특별시 서초구 서초중앙로 지하31(서초동),37.48114040000001,127.025186
69,3호선,녹번,서울특별시 은평구 통일로 지하602-1(녹번동),37.6046138,126.9323836
70,3호선,대청,서울특별시 강남구 일원로 지하2(일원동),37.4881652,127.0828815
71,3호선,대치,서울특별시 강남구 남부순환로 지하2952(대치동),37.493668,127.0619
72,3호선,도곡,서울특별시 강남구 남부순환로 지하2814(도곡동),37.48859059999999,127.0452757
73,3호선,독립문,서울특별시 서대문구 통일로 지하247(현저동),37.57142109999999,126.9560102
74,3호선,동대입구,서울특별시 중구 동호로 지하256(장충동2가),37.5605514,127.0057072
75,3호선,매봉,서울특별시 강남구 남부순환로 지하2744(도곡동),37.48859059999999,127.0452757
76,3호선,무악재,서울특별시 서대문구 통일로 지하361(홍제동),37.5827071,126.9373416
77,3호선,불광,서울특별시 은평구 통일로 지하723-1(대조동),37.61204770000001,126.923359
78,3호선,수서,서울특별시 강남구 광평로 지하270(수서동),37.4874685,127.1013245
79,3호선,신사,서울특별시 강남구 도산대로 지하102(신사동),37.52106819999999,127.03414
80,3호선,안국,서울특별시 종로구 율곡로 지하62(안국동),37.5772954,126.9840979
81,3호선,압구정,서울특별시 강남구 압구정로 지하172(신사동),37.5263577,127.0335584
82,3호선,약수,서울특별시 중구 다산로 지하122(신당동),37.5640139,127.0183877
83,3호선,양재(서초구청),서울특별시 서초구 남부순환로 지하2585(서초동),37.4785654,127.0078252
84,3호선,연신내,서울특별시 은평구 통일로 지하849(갈현동),37.621541,126.913578
85,3호선,오금,서울특별시 송파구 오금로 지하321(오금동),37.5041934,127.1344585
86,3호선,옥수,서울특별시 성동구 동호로 21(옥수동),37.5400509,127.0177866
87,3호선,을지로3가,서울특별시 중구 을지로 지하129(을지로3가),37.5664076,126.9936319
88,3호선,일원,서울특별시 강남구 일원로 지하121(일원동),37.4881652,127.0828815
89,3호선,잠원,서울특별시 서초구 잠원로4길 지하46(잠원동),37.5126755,127.0107095
90,3호선,종로3가,서울특별시 종로구 돈화문로 지하30(묘동),37.5720785,126.9920972
91,3호선,지축,경기도 고양시 덕양구 삼송로 300(지축동),37.6487922,126.911372
92,3호선,충무로,서울특별시 중구 퇴계로 지하214(필동2가),37.5587734,126.9947209
93,3호선,학여울,서울특별시 강남구 남부순환로 지하3104(대치동),37.493668,127.0619
94,3호선,홍제,서울특별시 서대문구 통일로 지하440-1(홍제동),37.5928868,126.9489057
95,4호선,길음,서울특별시 성북구 동소문로 지하248(길음동),37.6085948,127.0220461
96,4호선,남태령,서울특별시 서초구 과천대로 지하816(방배동),37.490797,126.9897777
97,4호선,노원,서울특별시 노원구 상계로 69-1(상계동),37.6561147,127.0623967
98,4호선,당고개,서울특별시 노원구 상계로 305(상계동),37.670607,127.0793321
99,4호선,동대문,서울특별시 종로구 율곡로 지하308(종로6가),37.5719508,127.0076798
100,4호선,동대문역사문화공원,서울특별시 중구 장충단로 지하230(광희동2가),37.5637333,127.0085617
101,4호선,동작(현충원),서울특별시 동작구 현충로 257(동작동),37.5028599,126.9799855
102,4호선,명동,서울특별시 중구 퇴계로 지하126(충무로2가),37.5617173,126.987815
103,4호선,미아,서울특별시 강북구 도봉로 지하198(미아동),37.6290856,127.0277879
104,4호선,미아사거리,서울특별시 강북구 도봉로 지하50(미아동),37.6290856,127.0277879
105,4호선,사당,서울특별시 동작구  동작대로 지하3(사당동),37.476559,126.981633
106,4호선,삼각지,서울특별시 용산구 한강대로 지하180(한강로1가),37.5325443,126.9747393
107,4호선,상계,서울특별시 노원구 상계로 182(상계동),37.6610573,127.0736304
108,4호선,서울역,서울특별시 용산구 한강대로 지하392(동자동),37.5520713,126.9724315
109,4호선,성신여대입구(돈암),서울특별시 성북구 동소문로 지하102(동선동4가),37.5935975,127.01756
110,4호선,수유(강북구청),서울특별시 강북구 도봉로 지하338(수유동),37.6290856,127.0277879
111,4호선,숙대입구(갈월),서울특별시 용산구 한강대로 지하306(갈월동),37.5454036,126.9723606
112,4호선,신용산,서울특별시 용산구 한강대로 지하112(한강로2가),37.5306984,126.9707163
113,4호선,쌍문,서울특별시 도봉구 도봉로 지하 486-1(창동),37.6675936,127.0403191
114,4호선,이촌(국립중앙박물관),서울특별시 용산구 서빙고로 지하83(용산동5가),37.5261469,126.9745744
115,4호선,창동,서울특별시 도봉구 마들로11길 77(창동),37.6533776,127.0476817
116,4호선,총신대입구(이수),서울특별시 동작구 동작대로 지하117(사당동),37.476559,126.981633
117,4호선,충무로,서울특별시 중구 퇴계로 지하214(필동2가),37.5587734,126.9947209
118,4호선,한성대입구(삼선교),서울특별시 성북구 삼선교로 지하1(삼선동1가),37.5885903,127.0103548
119,4호선,혜화,서울특별시 종로구 대학로 지하120(명륜4가),37.5816314,127.0008865
120,4호선,회현(남대문시장),서울특별시 중구 퇴계로 지하54(남창동),37.5580788,126.9776197
121,5호선,강동,서울특별시 강동구 천호대로 지하1097(천호동),37.5443765,127.1276202
122,5호선,강일,서울특별시 강동구 고덕로 지하456(강일동),37.5570545,127.169184
123,5호선,개롱,서울특별시 송파구 오금로 지하402(가락동),37.4956865,127.1184047
124,5호선,개화산,서울특별시 강서구 양천로 22(방화동),37.564519,126.8110207
125,5호선,거여,서울특별시 송파구 오금로 지하499(거여동),37.4897279,127.1449912
126,5호선,고덕,서울특별시 강동구 고덕로 지하253(고덕동),37.555406,127.155926
127,5호선,공덕,서울특별시 마포구 마포대로 지하100(공덕동),37.5511348,126.9583888
128,5호선,광나루(장신대),서울특별시 광진구 아차산로 지하571(광장동),37.5408623,127.09657
129,5호선,광화문(세종문화회관),서울특별시 종로구 세종대로 지하172(세종로),37.5722099,126.9768146
130,5호선,군자(능동),서울특별시 광진구 천호대로 지하550(능동),37.5505785,127.0817378
131,5호선,굽은다리(강동구민회관앞),서울특별시 강동구 양재대로 지하1572(명일동),37.5490445,127.1508229
132,5호선,길동,서울특별시 강동구 양재대로 지하1480(길동),37.5396157,127.1459293
133,5호선,김포공항,서울특별시 강서구 하늘길 지하77(방화동),37.5557019,126.8045874
134,5호선,까치산,서울특별시 강서구 강서로 지하54(화곡동),37.5402954,126.8596478
135,5호선,답십리,서울특별시 성동구 천호대로 지하300(용답동),37.5645064,127.0575456
136,5호선,동대문역사문화공원,서울특별시 중구 마른내로 지하162(광희동1가),37.5650361,127.0059266
137,5호선,둔촌동,서울특별시 강동구 양재대로 지하1369(둔촌동),37.527657,127.136231
138,5호선,마곡,서울특별시 강서구 공항대로 지하163(마곡동),37.5745847,126.8278331
139,5호선,마장,서울특별시 성동구 마장로 지하296(마장동),37.567372,127.0349439
140,5호선,마천,서울특별시 송파구 마천로57길 지하7(마천동),37.4952383,127.1532327
141,5호선,마포,서울특별시 마포구 마포대로 지하33(도화동),37.5389594,126.9491776
142,5호선,명일,서울특별시 강동구 양재대로 지하1632(명일동),37.5490445,127.1508229
143,5호선,목동,서울특별시 양천구 오목로 지하245(목동),37.526072,126.864301
144,5호선,미사,경기도 하남시 미사강변동로 지하90(망월동),37.5637007,127.1929312
145,5호선,발산,서울특별시 강서구 공항대로 지하267(마곡동),37.5706297,126.8298909
146,5호선,방이,서울특별시 송파구 양재대로 지하1127(방이동),37.511246,127.1293615
147,5호선,방화,서울특별시 강서구 금낭화로 지하132(방화동),37.5782048,126.8181658
148,5호선,상일동,서울특별시 강동구 고덕로 지하359(상일동),37.5570545,127.169184
149,5호선,서대문,서울특별시 종로구 통일로 지하126(평동),37.5680974,126.9687373
150,5호선,송정,서울특별시 강서구 공항대로 지하33(공항동),37.5610725,126.8117129
151,5호선,신금호,서울특별시 성동구 금호로 지하154(금호동2가),37.5530275,127.020416
152,5호선,신길,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),37.517435,126.9152987
