,역명,주소,위도,경도
200,광흥창,서울특별시 마포구 독막로 지하165(창전동),37.5452972,126.9310644
201,구산,서울특별시 은평구 연서로 지하137-1(구산동),37.6134018,126.9050205
202,녹사평,서울특별시 용산구 녹사평대로 지하195(용산동4가),37.5305359,126.9851825
203,대흥,서울특별시 마포구 대흥로 지하85(대흥동),37.5497599,126.9431416
204,독바위,서울특별시 은평구 불광로 지하129-1(불광동),37.6217371,126.9272708
205,돌곶이,서울특별시 성북구 화랑로 지하243(석관동),37.611277,127.0580352
207,디지털미디어시티,서울특별시 은평구 수색로 지하175(증산동),37.58214359999999,126.9062444
208,마포구청,서울특별시 마포구 월드컵로 지하190(성산동),37.5656178,126.9046897
209,망원,서울특별시 마포구 월드컵로 지하77(망원동),37.5554884,126.8998606
210,버티고개,서울특별시 중구 다산로 지하38(신당동),37.5599012,127.0198098
211,보문,서울특별시 성북구 보문로 지하116(보문동1가),37.5866501,127.0196841
212,봉화산,서울특별시 중랑구 신내로 지하232(신내동),37.6109947,127.0937399
215,상수,서울특별시 마포구 독막로 지하85(상수동),37.54961590000001,126.9224682
216,상월곡,서울특별시 성북구 화랑로 지하157(상월곡동),37.6060997,127.0478098
217,새절,서울특별시 은평구 증산로 지하400(신사동),37.595613,126.9072033
219,신내,서울특별시 중랑구 용마산로136길 33 신내차량기지,37.6190542,127.1073132
221,안암,서울특별시 성북구 고려대로 지하89(안암동5가),37.5860125,127.025563
223,역촌,서울특별시 은평구 서오릉로 지하63(녹번동),37.6005677,126.938577
225,월곡,서울특별시 성북구 월곡로 지하107(하월곡동),37.5971779,127.0392309
226,월드컵경기장,서울특별시 마포구 월드컵로 지하240(성산동),37.5592762,126.9138751
227,응암,서울특별시 은평구 증산로 지하477(신사동),37.595613,126.9072033
228,이태원,서울특별시 용산구 이태원로 지하177(이태원동),37.5342345,126.9905368
229,증산,서울특별시 은평구 증산로 지하306(증산동),37.5841679,126.9059643
230,창신,서울특별시 종로구 지봉로 지하112(창신동),37.5753626,127.0154315
233,한강진,서울특별시 용산구 이태원로 지하287(한남동),37.5339827,127.0110273
235,화랑대,서울특별시 노원구 화랑로 지하510(공릉동),37.6280947,127.091262
236,효창공원앞,서울특별시 용산구 백범로 지하287(효창동),37.5395736,126.963503
238,강남구청,서울특별시 강남구 학동로 지하346(삼성동),37.51673170000001,127.042221
241,공릉,서울특별시 노원구 동일로 지하1074(공릉동),37.6304722,127.0909904
243,남구로,서울특별시 구로구 도림로 지하7(구로동),37.5050823,126.8887869
244,남성,서울특별시 동작구 사당로 지하218(사당동),37.4889312,126.9691198
245,내방,서울특별시 서초구 서초대로 지하103(방배동),37.4910405,127.004581
247,논현,서울특별시 강남구 학동로 지하102(논현동),37.5201287,127.0393976
250,뚝섬유원지,서울특별시 광진구 능동로 10(자양동),37.540458,127.066694
251,마들,서울특별시 노원구 동일로 지하1530-1(상계동),37.6543386,127.0626961
252,먹골,서울특별시 중랑구 동일로 지하901(묵동),37.5976182,127.0790622
253,면목,서울특별시 중랑구 면목로 지하407(면목동),37.5845464,127.0905862
254,반포,서울특별시 서초구 신반포로 지하241(잠원동),37.5151065,127.0137779
255,보라매,서울특별시 동작구 상도로 지하2(대방동),37.5062327,126.93435
256,사가정,서울특별시 중랑구 사가정로 지하393(면목동),37.5719656,127.0845223
257,상도,서울특별시 동작구 상도로 지하272(상도1동),37.5032626,126.9506566
258,상봉,서울특별시 중랑구 망우로 297(상봉동),37.5967657,127.0860297
259,수락산,서울특별시 노원구 동일로 지하1662(상계동),37.6543386,127.0626961
260,숭실대입구,서울특별시 동작구 상도로 지하378(상도동),37.4990513,126.9422048
261,신대방삼거리,서울특별시 동작구 상도로 지하76(대방동),37.5143563,126.932638
262,신풍,서울특별시 영등포구 신풍로 지하27(신길동),37.5001413,126.9131951
263,어린이대공원,서울특별시 광진구 능동로 지하210(화양동),37.5471794,127.0729432
265,용마산,서울특별시 중랑구 용마산로 지하227(면목동),37.5712405,127.0861385
266,장승배기,서울특별시 동작구 상도로 지하188(상도동),37.4990513,126.9422048
267,중계,서울특별시 노원구 동일로 지하1308-1(중계동),37.6510125,127.0799977
268,중곡,서울특별시 광진구 능동로 지하417(중곡동),37.56354400000001,127.0888304
269,중화,서울특별시 중랑구 동일로 지하797(중화동),37.6005095,127.0781428
270,천왕,서울특별시 구로구 오리로 지하1154(천왕동),37.4808353,126.8398192
271,청담,서울특별시 강남구 학동로 지하508(청담동),37.51673170000001,127.042221
274,하계,서울특별시 노원구 동일로 지하1196(하계동),37.6376443,127.0725093
275,학동,서울특별시 강남구 학동로 지하180(논현동),37.5077821,127.0272107
277,강동구청,서울특별시 강동구 올림픽로 지하550(성내동),37.5291562,127.1237948
278,몽촌토성,서울특별시 송파구 올림픽로 지하383(신천동),37.52099219999999,127.0991094
279,문정,서울특별시 송파구 송파대로 지하179(문정동),37.4855846,127.1225635
280,복정,서울특별시 송파구 송파대로 지하6(장지동),37.4768715,127.1320663
282,송파,서울특별시 송파구 송파대로 지하354(가락동),37.4956865,127.1184047
283,암사,서울특별시 강동구 올림픽로 지하776(암사동),37.550148,127.127519
285,장지,서울특별시 송파구 송파대로 지하82(장지동),37.4768715,127.1320663
288,공항시장,서울특별시 강서구 방화동로 지하 30,37.56655629999999,126.8111133
