,이름,별점,주소
217,동부수도사업소 개방화장실,,서울 성동구                고산자로10길 13                 (우)04744
218,성동구청 앞 개방화장실,,서울 성동구                고산자로 270                 (우)04750
219,왕십리역 5호선 개방화장실,,서울 성동구 행당동                192-3                
220,왕십리역 경의선 개방화장실,,서울 성동구                왕십리광장로 17                 (우)04750
221,왕십리역 2호선 개방화장실,,서울 성동구 행당동                188-1                
222,나래타워 개방화장실,,서울 성동구                고산자로 234                 (우)04744
223,성동구청 개방화장실,,서울 성동구                고산자로 270                 (우)04750
224,행당1동주민센터 개방화장실,,서울 성동구                고산자로10길 18                 (우)04745
225,시립성동청소년수련관 개방화장실,,서울 성동구                고산자로 260                 (우)04750
226,살곶이진입부 개방화장실,,서울 성동구 사근동                102-28                
227,살곶이인라인 개방화장실,,서울 성동구 사근동                102-21                
228,한양대역 개방화장실,,서울 성동구                왕십리로 206                 (우)04763
229,뚝섬역 개방화장실,,서울 성동구                아차산로 18                 (우)04778
230,서울숲역 개방화장실,,서울 성동구                왕십리로 지하 77                 (우)04769
231,성수1가2동 주민센터 개방화장실,,서울 성동구                왕십리로5길 3                 (우)04768
232,성동구민종합체육센터 개방화장실,,서울 성동구                왕십리로 89                 (우)04769
233,성수역 개방화장실,,서울 성동구                아차산로 100                 (우)04782
234,영동테크노타워 개방화장실,,서울 성동구                아차산로 103                 (우)04794
235,JK빌딩 개방화장실,,서울 성동구                성수이로20길 16                 (우)04783
236,다동소공원 1층 개방화장실,,서울 중구                다동길 21                 (우)04521
237,을지로입구역 개방화장실,,서울 중구                을지로 35                 (우)04523
238,남대문 개방화장실,4.0,서울 중구                남대문로 114                 (우)04540
239,태평로파출소 개방화장실,,서울 중구                다동길 11                 (우)04521
240,한국전력공사 서울본부 개방화장실,,서울 중구                남대문로 92                 (우)04534
241,한외빌딩 개방화장실,,서울 중구                다동길 43                 (우)04521
242,시청A 지하상가 개방화장실,,서울 중구                을지로 지하 12                 (우)04533
243,을지입구 지하상가 개방화장실,,서울 중구                을지로 지하 58                 (우)04539
244,한국관광공사 서울센터점 개방화장실,,서울 중구                청계천로 40                 (우)04521
245,리빠똥호프1 개방화장실,,서울 성동구                왕십리로 357                 (우)04710
246,도선동공영주차장 개방화장실,,서울 성동구                무학로8길 8                 (우)04707
247,우인빌딩 왕십리클리닉 개방화장실,,서울 성동구                왕십리로 339                 (우)04710
248,스타주유소 개방화장실,,서울 광진구 자양동                779-7                
249,민도빌딩 개방화장실,,서울 광진구                아차산로 395                 (우)05044
250,구의역 개방화장실,,서울 광진구                아차산로 384-1                 (우)05051
251,구의1동 공영주차장 개방화장실,,서울 광진구                자양로18길 78                 (우)05044
252,청운빌딩 개방화장실,,서울 관악구                남부순환로 1730                 (우)08784
253,은천동주민센터 개방화장실,,서울 관악구                봉천로33나길 30                 (우)08750
254,공인중개사협회 개방화장실,,서울 관악구                남부순환로 1722                 (우)08784
255,송파어린이영어도서관 개방화장실,,서울 송파구 신천동                14                
256,잠실나루역 개찰구 밖 개방화장실,,서울 송파구                오금로 20                 (우)05504
257,강남역 지하상가 개방화장실,,서울 강남구                테헤란로 101                 (우)06134
258,도씨에빛2 개방화장실,,서울 서초구                강남대로 359                 (우)06621
259,강남역 개방화장실,,서울 강남구                강남대로 지하 396                 (우)06232
260,세계빌딩 개방화장실,1.0,서울 서초구                서초대로73길 12                 (우)06615
261,BNK디지털타워 개방화장실,,서울 서초구                서초대로 398                 (우)06619
262,잠실종합사회복지관 개방화장실,,서울 송파구                올림픽로12길 12                 (우)05560
263,잠실트리지움상가 개방화장실,,서울 송파구                석촌호수로 61                 (우)05555
264,잠실새내역 개방화장실,,서울 송파구 잠실동                21                
265,잠실야구장 개방화장실,1.0,서울 송파구                올림픽로 25                 (우)05500
266,중소기업정보관 개방화장실,,서울 송파구                올림픽로 8                 (우)05571
267,제2수영장 체육공원 학생체육관앞 개방화장실,5.0,서울 송파구                올림픽로 25                 (우)05500
268,103호 잠실야구장 개방화장실,,서울 송파구                올림픽로 25                 (우)05500
269,종합운동장역 개방화장실,,서울 송파구                올림픽로 지하 23                 (우)05571
270,제2수영장 체육공원 풋살경기장앞 개방화장실,,서울 송파구                올림픽로 25                 (우)05500
271,SK금성주유소 개방화장실,,서울 강남구                테헤란로 619                 (우)06173
272,덕명빌딩 개방화장실,,서울 강남구                테헤란로 625                 (우)06173
273,삼성역 개방화장실,,서울 강남구                테헤란로 지하 538                 (우)06181
274,홍우빌딩 개방화장실,,서울 강남구                테헤란로 522                 (우)06181
275,선릉역 개방화장실,,서울 강남구                테헤란로 지하 340                 (우)06212
276,선릉이스타빌 개방화장실,,서울 강남구                테헤란로52길 15                 (우)06212
277,다봉타워빌딩 개방화장실,,서울 강남구                테헤란로 418                 (우)06193
278,하이리빙빌딩 개방화장실,,서울 강남구                테헤란로 420                 (우)06193
279,선릉역 분당선 개방화장실,,서울 강남구 삼성동                111-114                
280,성담빌딩 개방화장실,,서울 강남구                테헤란로 411                 (우)06160
281,구의공원 개방화장실,,서울 광진구 구의동                546-2                
282,동서울터미널종합상가 개방화장실,,서울 광진구                강변역로 50                 (우)05116
283,테크노마트 개방화장실,,서울 광진구                광나루로56길 85                 (우)05116
284,광진문화원 개방화장실,,서울 광진구                광나루로56길 67                 (우)05119
285,지너스타워 개방화장실,,서울 광진구                강변역로4길 10                 (우)05116
286,시그니쳐 타워 서관 개방화장실,4.7,서울 중구                청계천로 100                 (우)04542
287,을지로3가역 개방화장실,,서울 중구                을지로 지하 129                 (우)04549
288,시립서울청소년수련관 1층 개방화장실,,서울 중구                을지로11길 23                 (우)04543
289,나라키움저동빌딩 개방화장실,,서울 중구                삼일대로 340                1층 (우)04551
290,을지로동주민센터 개방화장실,,서울 중구                충무로9길 20                 (우)04543
291,CT센타 타워빌딩 개방화장실,,서울 중구                수표로 34                 (우)04555
292,을지로3가파출소 1층 개방화장실,,서울 중구                충무로 56-1                 (우)04549
293,동대문역사문화공원역 개방화장실,,서울 중구                마른내로 지하 162                 (우)04560
294,동대문역사문화공원역 개방화장실,,서울 중구                장충단로 지하 230                 (우)04565
295,을지로4가역 개방화장실,,서울 중구                창경궁로 지하 51                 (우)04545
296,반석교회 개방화장실,,서울 중구                창경궁로5다길 22                 (우)04545
297,을지로4가역 개방화장실,,서울 중구                을지로 지하 178                 (우)04548
298,오성빌딩 개방화장실,,서울 중구                을지로33길 18-1                 (우)04546
299,인현지하상가 개방화장실,,서울 중구 인현동2가                101-3                
