,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
108,당산,1346,255037,698240,1843586,3095961,1708759,1130986,1113397,1196775,1227496,1191835,1301131,1546191,2237369,3243609,1993418,1388499,1363516,1256870,749062,158846,5262,188,3,28707382,당산당산,서울특별시
476,청량리,27802,291219,740963,1280781,1970472,1560182,1723561,1745518,1861292,2042740,1990785,2166316,2208596,2085209,2369305,1474888,1095922,963389,625936,335987,87098,495,6,0,28648462,청량리(서울시립대입구),서울특별시
39,공덕,2642,157284,508597,1702305,3669202,1929262,1105279,1106857,1150833,1196647,1159592,1258987,1517564,2396134,3685001,1736224,1216186,1215509,1024652,554967,127557,1656,95,3,28423035,공덕공덕,서울특별시
351,양재,1249,101681,736202,1813617,3566476,1967340,1141041,1048378,1037640,1175409,1147832,1267227,1519177,2417296,3477817,1750382,1221058,1124781,841267,350892,57336,394,82,3,27764577,양재(서초구청),서울특별시
387,왕십리,23759,230778,479345,1160506,2142878,1424778,1081520,1127561,1289953,1385252,1392255,1537024,1831198,2267498,2931763,1955002,1451113,1440176,1384028,781540,201416,4472,377,74,27524266,왕십리왕십리,서울특별시
515,혜화,327,79831,396114,868523,1776961,1441242,1274937,1322655,1501694,1764348,1770940,1828342,1990681,2337263,2584712,1644792,1216070,1495222,1358902,539176,78718,4294,24,0,27275768,혜화,서울특별시
445,종각,1221,107055,366431,1380761,3357092,2003335,1023907,1098323,1093541,1199324,1223203,1340209,1494193,2395270,3365817,1497735,1175475,1228863,929958,429234,22459,573,3,0,26733982,종각,서울특별시
95,노량진,10572,329585,671423,1687683,2548841,1507763,1017474,1040882,1205490,1316638,1164635,1263245,1494146,1972197,2655354,1639500,1294680,1363671,1337342,621483,93837,214,27,2,26236684,노량진노량진,서울특별시
367,연신내,3502,361363,802248,1919240,2330875,1580145,1200653,1168374,1296447,1258157,1228986,1367945,1619368,1759704,2328846,1892261,1194081,1094170,949202,581963,144556,574,99,2,26082761,연신내연신내,서울특별시
471,천호,1710,271754,691491,1316161,2088670,1479096,1130454,1171636,1277671,1360001,1380334,1552566,1762475,2173440,2678500,1854864,1302971,1072937,878909,475094,125516,3189,63,0,26049502,천호(풍납토성)천호(풍납토성),서울특별시
296,수유,1340,320547,769479,1742600,2262400,1515003,1124318,1098259,1158982,1195494,1196019,1302928,1562751,1838395,2442710,1913367,1255824,1127317,992347,629318,109071,553,3,0,25559025,수유(강북구청),서울특별시
112,대림,9785,628184,703919,1427441,2445244,1654053,1246895,1237751,1219838,1237932,1213369,1352619,1547060,1896011,2138074,1434564,1029512,1086109,951846,469205,98724,2721,71,3,25030930,대림(구로구청)대림(구로구청),서울특별시
137,동대문역사문화공원,7026,178871,426305,946822,2161085,1374760,1147091,1225547,1277910,1350033,1471920,1561071,1702232,2112020,2573923,1670571,1190231,1115414,868435,486959,113120,2755,219,13,24964333,동대문역사문화공원동대문역사문화공원동대문역사문화공원,서울특별시
408,을지로3가,576,57126,407660,1413880,3461364,1599600,941019,929117,929632,1026143,1049542,1111673,1306128,2270153,3388153,1477261,1007302,1021019,871819,506531,81087,1322,121,6,24858234,을지로3가을지로3가,서울특별시
342,압구정,1283,65786,406330,817550,2236442,2251517,1376074,1256163,1180082,1290100,1335226,1409261,1576139,1991806,2633178,1670118,1185160,927666,702065,245731,47114,2250,96,0,24607137,압구정,서울특별시
293,수서,3091,194759,663092,1578246,2383249,1518290,1287607,1044582,1303432,1208109,1050250,1409295,1635189,1967984,2430019,1441209,1162510,916759,888296,375479,54876,2718,24,33,24519098,수서,서울특별시
16,강변,372,140529,642295,1325267,2085013,1592162,1342733,1211424,1236264,1251019,1252941,1398575,1529932,1810513,2249998,1610645,1168788,975377,811953,406471,81647,1205,93,0,24125216,강변(동서울터미널),서울특별시
50,광화문,268,29683,395778,1096583,3503366,1693068,898281,975203,962582,1114384,1105565,1166520,1353919,2014417,3344112,1277492,916649,943859,650307,239695,37444,874,1649,0,23721698,광화문(세종문화회관),서울특별시
136,동대문,12844,255414,423560,847717,1522914,1501812,1471131,1562965,1601887,1632615,1722251,1738349,1764034,1940543,1580100,1104534,813069,748466,534705,316896,53107,3159,14,0,23152086,동대문동대문,서울특별시
307,신논현,674,74963,346851,924550,1700599,1636451,1037786,962635,1024765,1131314,1138942,1199862,1442635,1908568,2618354,1695601,1139285,1153393,1050307,568898,96689,6593,39,0,22859754,신논현,서울특별시
149,디지털미디어시티,3443,190309,597049,1824463,3287411,1573286,792331,699194,745966,771573,730545,816681,1063583,1808548,2929189,1534795,902039,793263,728390,391130,107571,234,23,0,22291016,디지털미디어시티,서울특별시
86,남부터미널,617,54677,451543,1168912,2520464,1550670,1079861,979065,1018016,1138313,1137587,1187088,1415343,1991683,2563763,1339346,893924,776984,633852,243573,33542,151,29,0,22179003,남부터미널(예술의전당),서울특별시
318,신사,989,75404,316214,708778,1528994,1940106,1134138,955148,994395,1090550,1143530,1218598,1381869,1849527,2545653,1633110,1028748,1037612,880269,417039,67036,182,115,0,21948004,신사,서울특별시
