호선명,역명,사용월,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
4호선,남태령,2629183,627,6992,30488,80101,118228,66199,47195,45573,47752,43561,44394,46030,61550,87441,77960,43519,35228,25529,16189,8940,1848,0,1,0,935345,남태령,서울특별시
4호선,노원,2629183,3370,161898,404651,833853,1101813,836221,652999,647735,746820,779290,762756,826245,965542,1159929,1497580,1169607,825678,745778,661372,386374,94617,7398,4,0,15271530,노원,서울특별시
4호선,당고개,2629183,736,107667,259662,588006,602832,420487,335186,311616,320795,321647,317797,334502,379920,420925,494895,425643,282368,246984,217529,146253,40372,3739,17,0,6579578,당고개,서울특별시
4호선,동대문,2629183,2774,88228,219879,511716,999280,984620,962395,998147,984401,1021075,1100197,1124174,1155543,1349486,1010997,636531,455809,427774,262282,146534,20319,949,3,0,14463113,동대문,서울특별시
4호선,동대문역사문화공원,2629183,3959,90194,222930,442858,962243,627277,533151,563230,585289,624320,685258,730006,785973,1030248,1281040,832075,594171,545627,415562,228650,46067,979,107,13,11831227,동대문역사문화공원,서울특별시
4호선,동작,2629183,128,6678,33569,64481,100999,76918,64752,62967,61338,66951,68908,77921,84841,104759,116974,67003,63805,44020,31808,16774,5203,746,2,0,1221545,동작(현충원),서울특별시
4호선,명동,2629183,384,29247,262334,696016,1572244,1224581,957116,1045401,1159691,1161746,1183586,1354425,1468004,1739313,2192777,1265035,1033911,894447,656762,256800,36412,1266,8,0,20191506,명동,서울특별시
4호선,미아,2629183,849,167575,349608,802478,1088602,687762,522899,535830,537619,544411,559601,612371,702218,795676,963707,715043,456885,403397,351529,201517,37159,219,1,0,11036956,미아,서울특별시
4호선,미아사거리,2629183,854,230553,587825,1440987,1657362,1192934,924067,904396,959926,981452,1009606,1152098,1331196,1460235,1864563,1435409,1004008,802238,682193,373956,64897,246,2,0,20061003,미아사거리,서울특별시
4호선,사당,2629183,2606,153536,568192,1211615,1553348,1249382,894740,884059,931092,881095,866885,921804,1098751,1444778,1880614,1239896,877514,883603,809169,459581,87158,6512,45,2,18905977,사당,서울특별시
4호선,삼각지,2629183,80,14757,102733,252247,382885,230355,182158,196922,221633,235883,226557,241950,297320,402012,549241,301022,219706,222545,206252,120557,22464,203,3,0,4629485,삼각지,서울특별시
4호선,상계,2629183,600,185552,571674,1333522,1215808,787577,609966,583879,649532,626865,603142,663795,797116,916461,1132413,979458,620573,557986,535311,309904,60878,5491,25,0,13747528,상계,서울특별시
4호선,서울역,2629183,3128,68816,288013,657068,1246830,843163,514042,516467,592014,583477,560120,619650,715245,1088686,1297518,691720,479329,435529,351366,173730,39338,2727,24,0,11768000,서울역,서울특별시
4호선,성신여대입구,2629183,394,98189,334700,809133,1158060,810249,663436,748410,780598,812054,848020,877084,1016441,1244632,1504257,1075219,785467,782097,710963,396872,78316,305,2,0,15534898,성신여대입구(돈암),서울특별시
