호선명,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
2호선,용두,37,1308,2662,7547,14854,8244,7013,7177,7224,8108,8250,8880,9109,9649,13453,7796,4611,4502,3170,1907,535,10,0,0,136044,용두(동대문구청),서울특별시
2호선,을지로3가,21,2794,21468,73652,184151,85300,48831,48161,48174,53445,54511,57624,67774,117726,174684,76643,53547,55179,48123,28370,4823,87,7,0,1305097,을지로3가,서울특별시
2호선,을지로4가,10,2250,15484,38311,86727,49378,36188,39302,38881,40690,42027,43021,47790,71781,83402,38839,23648,20741,16130,8962,2086,44,4,0,745695,을지로4가,서울특별시
2호선,을지로입구,77,5092,29776,130140,336601,174662,96242,99976,98146,108070,109816,119906,134395,210788,332458,150517,125648,94764,73384,32877,7633,735,16,6,2471723,을지로입구,서울특별시
2호선,이대,40,4473,15650,39420,76207,64057,50472,43687,53610,55870,49206,55975,60660,76838,82878,54950,41107,40446,36336,21275,4604,88,7,0,927856,이대,서울특별시
2호선,잠실,100,17102,80555,193025,340361,284692,198826,200325,207318,219522,227124,258987,295885,370653,467111,313964,263840,243097,187550,78130,12964,213,18,0,4461364,잠실(송파구청),서울특별시
2호선,잠실나루,15,5058,22346,59032,83709,54765,42932,40189,43265,42726,41920,44374,50815,62888,68908,43393,29290,26034,23657,12560,2919,46,2,0,800843,잠실나루,서울특별시
2호선,잠실새내,44,6021,25578,70622,104674,78989,57220,57339,62840,66449,65830,74377,82947,100918,127565,89597,63079,58551,57122,31795,6797,129,9,0,1288493,잠실새내,서울특별시
2호선,종합운동장,18,2489,15239,33261,48783,31882,25931,23995,31878,37558,33883,42787,59882,77507,75843,38738,34669,56081,55315,13295,1948,108,2,0,741092,종합운동장,서울특별시
2호선,충정로,32,4172,13788,37309,81928,41749,23872,22341,23051,25487,25133,26202,31016,45322,68569,29839,19781,19504,16255,9550,2355,53,4,0,567312,충정로(경기대입구),서울특별시
2호선,한양대,9,1486,8329,17074,62318,57205,48143,28253,44813,40930,38664,38846,46226,59896,54062,26833,20998,21867,17512,11726,2421,20,4,0,647634,한양대,서울특별시
2호선,합정,99,12848,32214,75211,149924,122366,78847,79818,88445,98873,97041,102009,119722,157920,231073,154163,103757,103651,95839,55113,12298,234,16,0,1971478,합정,서울특별시
2호선,홍대입구,1049,31631,48173,99111,184115,185422,143891,167934,200740,224186,225227,247513,284953,342643,411866,310472,240450,250345,238814,133947,25937,1734,43,9,4000203,홍대입구,서울특별시
3호선,가락시장,51,3282,12967,31503,50815,31170,24948,24793,25447,25781,26268,28921,32024,40227,53083,29555,20985,18354,15130,7544,2070,51,1,0,504969,가락시장,서울특별시
3호선,경복궁,78,4185,20143,53963,145692,106548,80145,80701,82555,88946,92124,96181,104493,120712,147674,70437,53022,50971,36237,15371,2284,42,36,0,1452538,경복궁(정부서울청사),서울특별시
3호선,경찰병원,22,3060,10506,31100,53429,29340,19945,17118,17325,19035,18014,19421,20290,30797,41519,23586,15955,13901,12028,6136,1551,6,0,0,404083,경찰병원,서울특별시
3호선,고속터미널,108,9080,41517,74829,119419,145874,149061,170063,177184,186804,201476,218544,228953,251552,254541,191833,176296,119807,78835,33028,3563,15,4,0,2832386,고속터미널,서울특별시
3호선,교대,70,2104,10716,28954,61047,47772,29124,27053,28601,33004,35154,36101,39653,61410,86107,39815,31309,31553,28016,10681,1527,6,2,0,669780,교대(법원·검찰청),서울특별시
3호선,구파발,105,12082,41446,108149,107449,72196,59361,54582,57628,57868,59158,62676,74145,81583,104393,81279,50909,45551,39083,24095,8050,269,6,6,1202070,구파발,서울특별시
3호선,금호,26,5060,12681,30261,45074,29464,21364,19527,20649,21479,20723,23156,26677,32345,41244,28511,20160,17077,15988,8097,1618,5,1,0,441188,금호,서울특별시
3호선,남부터미널,47,4206,34734,89916,193882,119282,83066,75313,78309,87563,87507,91314,108873,153206,197213,103027,68763,59768,48758,18736,2580,12,2,0,1706077,남부터미널(예술의전당),서울특별시
3호선,녹번,63,10539,29253,78031,93142,55635,37717,33566,35782,34454,33607,36744,44741,54268,80828,60684,37799,33369,29256,16665,3300,9,3,0,839453,녹번,서울특별시
3호선,대청,69,4775,17371,44183,61220,32218,24243,22160,23649,25188,24751,29639,36651,43594,53754,34313,23314,20694,20195,9966,2197,10,1,1,554156,대청,서울특별시
3호선,대치,16,3504,20241,42963,54606,35924,28129,27138,32521,36880,33768,37666,46071,60353,58202,40649,26050,29136,42472,9845,1903,8,1,1,668048,대치,서울특별시
3호선,도곡,37,1184,8082,21851,30356,22509,13617,13585,13379,14126,14096,16171,19671,25497,27326,16872,11179,9799,8666,3729,1900,200,1,1,293833,도곡,서울특별시
3호선,독립문,156,5669,10987,29014,38147,31403,28585,24963,25936,26215,25716,27523,29782,30729,32772,21042,14406,12446,10633,5759,2704,498,2,4,435090,독립문,서울특별시
3호선,동대입구,20,2821,11964,21535,60747,43430,34258,32641,29498,33193,34309,32818,38998,50306,65698,29911,23507,25624,19350,7109,1146,55,1,1,598941,동대입구,서울특별시
3호선,매봉,8,2233,15754,39469,93281,48814,28066,26485,25749,26903,28212,31245,35500,57258,86317,36956,24968,24937,18711,7860,1559,45,1,0,660332,매봉,서울특별시
3호선,무악재,23,2023,7730,18062,23689,14883,11605,10432,10624,10677,10545,11494,13846,16665,22379,15764,10315,9386,7955,5020,984,5,1,0,234107,무악재,서울특별시
3호선,불광,31,10509,24721,61751,91642,64818,50346,47786,51352,54323,53489,57513,63021,69608,89203,63655,41198,35935,29669,16644,3674,13,5,0,980903,불광,서울특별시
3호선,수서,210,7190,29345,69210,98688,64321,54791,45025,56207,52004,46261,61827,70201,83130,102277,61370,49561,38771,37662,15094,3237,205,2,3,1046590,수서,서울특별시
