,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총승차인원(평균),호선명,지하철역,주소
171,신이문,1396.0,10625.0,17903.0,39700.0,47365.0,26616.0,21326.0,20338.0,21680.0,22034.0,20695.0,24134.0,28016.0,31391.0,40130.0,30075.0,19397.0,16391.0,14606.0,9174.0,1646.0,5.0,0.0,0.0,464642.0,1호선,신이문,서울특별시
41,김포공항,8.0,2978.0,13003.0,22650.0,28021.0,22236.0,24462.0,28595.0,29474.0,30851.0,31242.0,32233.0,33012.0,38119.0,41330.0,26908.0,19491.0,17782.0,15211.0,4741.0,866.0,15.0,1.0,0.0,463227.0,5호선9호선,김포공항김포공항,서울특별시
142,선유도,1.0,3285.0,10589.0,36633.0,68926.0,31112.0,16183.0,16489.0,17145.0,17559.0,17361.0,19083.0,23421.0,38113.0,58969.0,29737.0,17173.0,15194.0,12723.0,6932.0,1899.0,5.0,0.0,0.0,458532.0,9호선,선유도,서울특별시
32,구일,295.0,5614.0,13835.0,34441.0,37573.0,24532.0,16902.0,16450.0,21226.0,23968.0,18763.0,22861.0,30361.0,37901.0,43753.0,27451.0,18779.0,20890.0,18388.0,8142.0,381.0,1.0,0.0,0.0,442506.0,1호선,구일,서울특별시
38,금호,26.0,5060.0,12681.0,30261.0,45074.0,29464.0,21364.0,19527.0,20649.0,21479.0,20723.0,23156.0,26677.0,32345.0,41244.0,28511.0,20160.0,17077.0,15988.0,8097.0,1618.0,5.0,1.0,0.0,441188.0,3호선,금호,서울특별시
251,태릉입구,78.0,6890.0,11706.0,26603.0,39074.0,25931.0,20110.0,21480.0,21007.0,22017.0,22518.0,23836.0,27671.0,32267.0,40367.0,30562.0,19424.0,18104.0,15994.0,10079.0,3824.0,570.0,0.0,0.0,440112.0,6호선7호선,태릉입구태릉입구,서울특별시
69,독립문,156.0,5669.0,10987.0,29014.0,38147.0,31403.0,28585.0,24963.0,25936.0,26215.0,25716.0,27523.0,29782.0,30729.0,32772.0,21042.0,14406.0,12446.0,10633.0,5759.0,2704.0,498.0,2.0,4.0,435090.0,3호선,독립문,서울특별시
260,행당,22.0,4634.0,13897.0,36140.0,52430.0,28195.0,19629.0,18372.0,19605.0,19411.0,19168.0,21477.0,24435.0,29690.0,41153.0,27198.0,18162.0,16618.0,14471.0,7981.0,2129.0,9.0,1.0,0.0,434825.0,5호선,행당,서울특별시
107,방이,2.0,3265.0,11347.0,26633.0,42224.0,24054.0,18210.0,16274.0,20276.0,19934.0,19586.0,22122.0,25649.0,34368.0,42201.0,27187.0,18044.0,18234.0,17831.0,6899.0,1313.0,5.0,1.0,0.0,415662.0,5호선,방이,서울특별시
88,마천,52.0,7380.0,17028.0,45577.0,43711.0,24250.0,17762.0,15846.0,17275.0,17361.0,15519.0,19498.0,23315.0,26312.0,36079.0,28532.0,15940.0,15439.0,13803.0,8043.0,2917.0,8.0,1.0,1.0,411646.0,5호선,마천,서울특별시
123,삼성중앙,1.0,1422.0,7010.0,21269.0,51241.0,39016.0,18879.0,14616.0,15397.0,16916.0,16644.0,17891.0,21917.0,34451.0,55646.0,26982.0,16061.0,14496.0,10868.0,5551.0,1241.0,3.0,0.0,0.0,407517.0,9호선,삼성중앙,서울특별시
250,충정로,24.0,2658.0,8916.0,27649.0,62119.0,29367.0,16178.0,15424.0,15716.0,17599.0,17436.0,17831.0,21096.0,32838.0,52673.0,21375.0,14385.0,14071.0,11735.0,6703.0,1587.0,59.0,3.0,0.0,407442.0,2호선5호선,충정로(경기대입구)충정로(경기대입구),서울특별시
15,경찰병원,22.0,3060.0,10506.0,31100.0,53429.0,29340.0,19945.0,17118.0,17325.0,19035.0,18014.0,19421.0,20290.0,30797.0,41519.0,23586.0,15955.0,13901.0,12028.0,6136.0,1551.0,6.0,0.0,0.0,404083.0,3호선,경찰병원,서울특별시
213,월계,973.0,6355.0,12531.0,32603.0,36916.0,27370.0,20034.0,18616.0,21097.0,22909.0,19017.0,21801.0,28528.0,28683.0,33401.0,24368.0,14351.0,13612.0,11050.0,7087.0,1403.0,1.0,0.0,0.0,402707.0,1호선,월계,서울특별시
186,양천구청,16.0,5765.0,13721.0,38076.0,40697.0,23072.0,16700.0,15868.0,17630.0,17535.0,16516.0,18459.0,22201.0,28374.0,38099.0,28626.0,16967.0,15955.0,13654.0,9490.0,2717.0,36.0,0.0,0.0,400174.0,2호선,양천구청,서울특별시
