,사용월,호선명,지하철역,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원
4473,202210,6호선,광흥창(서강),13,4349,12296,34698,58971,35391,23474,22223,23742,23093,22547,25443,27832,37000,52258,30455,20625,18603,15498,8470,1944,2,0,0,498927
4474,202210,6호선,구산,8,5551,13973,35810,44892,24853,19003,18825,20042,19068,17549,20716,25301,24886,30699,25436,14552,13165,11341,6462,1690,0,0,0,393822
4475,202210,6호선,녹사평(용산구청),375,3252,6433,14853,25096,15697,13452,14051,15960,18223,18376,21217,26939,31588,39219,26521,21553,22825,20240,13417,2086,0,0,0,371373
4476,202210,6호선,대흥(서강대앞),27,3666,9608,30242,55556,32880,29070,24128,27865,31681,26383,28651,36498,42635,49175,30094,20859,20574,20684,11089,2844,0,0,0,534209
4477,202210,6호선,독바위,4,2485,5902,15207,16060,10452,8603,7300,7897,7189,7040,7891,9628,10158,14088,11820,7326,5968,5699,3602,1260,0,0,0,165579
4478,202210,6호선,돌곶이,14,7401,17169,43825,58626,34742,26162,22159,24735,26510,25519,27088,29519,37000,47068,36868,22099,19670,18410,10272,2814,0,2,0,537672
4479,202210,6호선,동묘앞,129,5711,9405,18163,37364,30824,27621,30255,34673,35927,37314,38064,39813,40357,40250,24864,17606,16087,14162,11310,2424,86,0,0,512409
4480,202210,6호선,디지털미디어시티,148,8929,26676,76430,120260,58429,31585,27103,29217,29576,28578,32674,43010,62283,93249,55672,32528,29282,24538,14260,4729,5,0,0,829161
4481,202210,6호선,마포구청,21,9415,20619,53581,90324,52013,35686,34160,37627,38300,36141,40322,45869,57083,78472,49656,34150,30673,27489,16498,3526,0,0,0,791625
4482,202210,6호선,망원,17,6939,15083,35879,68445,52747,40344,43487,50239,54304,52467,57870,61654,71143,90670,60624,41076,38383,30770,17870,3044,0,0,0,893055
4483,202210,6호선,버티고개,39,1229,2891,7679,12955,8271,6047,5711,6402,6477,6217,7239,7870,9831,12299,8263,5387,5065,4648,2703,635,39,0,0,127897
4484,202210,6호선,보문,37,4587,11481,30665,53007,28044,18902,17644,19395,19984,18027,20521,24206,29533,40521,26560,18144,17474,17128,11606,3093,0,0,0,430559
4485,202210,6호선,봉화산(서울의료원),10,6193,17422,52968,52153,28100,21957,19522,21505,21746,20521,22488,26091,33136,42000,35005,21036,17899,16987,9929,3114,162,0,0,489944
4486,202210,6호선,불광,35,2096,6522,14473,19615,14889,11894,12709,14128,15298,16080,17650,19504,20589,24191,16281,10703,9554,7262,4512,1190,0,0,0,259175
4487,202210,6호선,삼각지,74,2688,8854,23183,41021,23429,16889,18330,20220,22712,21900,25056,29794,38329,46592,24692,20483,18671,17029,9877,1934,4,0,0,431761
4488,202210,6호선,상수,96,5922,10240,16722,40317,42285,28921,27446,33765,38228,34712,34874,42417,52733,65140,45095,34488,35028,32503,24499,4562,0,0,0,649993
4489,202210,6호선,상월곡(한국과학기술연구원),14,5920,11043,27946,41947,23963,20138,17641,16673,17545,17111,17323,21245,23998,28865,23094,13676,14720,11616,7848,1934,1,0,0,364261
4490,202210,6호선,새절(신사),74,11954,24420,59530,75433,45751,31382,30551,32414,33784,31130,35764,43203,49058,62641,48367,30270,27085,23065,14675,4525,6,0,0,715082
4491,202210,6호선,석계,1170,10648,24658,55810,69063,43004,33189,32736,33477,34387,33337,36827,44142,51485,67424,54527,32552,29710,26930,17319,4706,1,0,0,737102
4492,202210,6호선,신내,0,0,0,0,3,0,0,2,3,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,15
4493,202210,6호선,신당,82,7061,12266,21660,48524,32031,21851,21056,25313,25514,21644,22471,30276,36077,46102,33664,23012,23603,24290,14875,3193,24,0,0,494589
4494,202210,6호선,안암(고대병원앞),44,4556,11598,26523,61955,46205,52513,39583,37855,46908,36643,47206,55180,62938,66498,41893,31243,32496,32477,21445,5895,105,0,0,761759
